SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),7735 15th Ave NW,Seattle,WA,98117,819000,4,2.0,Crown Hill,2540,3330,1945,44,322,,Active,,,http://www.redfin.com/WA/Seattle/7735-15th-Ave-NW-98117/home/166884,NWMLS,1697303,N,Y,47.6860673,-122.3771221
MLS Listing,,Townhouse,6018 Sand Point Way NE,Seattle,WA,98115,850000,3,2.0,Sand Point,1588,729,2020,44,535,,Active,,,http://www.redfin.com/WA/Seattle/6018-Sand-Point-Way-NE-98115/home/173923953,NWMLS,1694455,N,Y,47.6723234,-122.2678435
MLS Listing,,Single Family Residential,4732 4th Ave NE,Seattle,WA,98105,1150000,5,1.75,Wallingford,2777,4080,1928,44,414,,Active,,,http://www.redfin.com/WA/Seattle/4732-4th-Ave-NE-98105/home/118764,NWMLS,1688957,N,Y,47.6641759,-122.3236901
MLS Listing,,Single Family Residential,3147 NE 85th St,Seattle,WA,98115,800000,3,1.75,Wedgwood,1700,6000,1942,44,471,,Active,,,http://www.redfin.com/WA/Seattle/3147-NE-85th-St-98115/home/317366,NWMLS,1695786,N,Y,47.690022,-122.2930515
MLS Listing,,Multi-Family (2-4 Unit),8513 16th Ave NW,Seattle,WA,98117,1095000,5,3.0,Crown Hill,2280,4500,1955,49,480,,Active,,,http://www.redfin.com/WA/Seattle/8513-16th-Ave-NW-98117/home/101167,NWMLS,1693096,N,Y,47.6910619,-122.3781978
MLS Listing,,Townhouse,2349 N 147th St Unit E,Shoreline,WA,98133,828880,3,2.5,Shoreline,1803,,2020,51,460,180,Active,,,http://www.redfin.com/WA/Shoreline/2349-N-147th-St-98133/unit-E/home/173218936,NWMLS,1695303,N,Y,47.7352475,-122.3294681
MLS Listing,,Single Family Residential,7338 23rd Ave NE,Seattle,WA,98115,1226000,5,2.75,Ravenna,2280,4635,1984,51,538,,Active,,,http://www.redfin.com/WA/Seattle/7338-23rd-Ave-NE-98115/home/310807,NWMLS,1693018,N,Y,47.6823747,-122.3026424
MLS Listing,,Single Family Residential,10346 Ashworth Ave N,Seattle,WA,98133,633999,4,1.75,Northgate,1680,5750,1944,52,377,,Active,,,http://www.redfin.com/WA/Seattle/10346-Ashworth-Ave-N-98133/home/104570,NWMLS,1694443,N,Y,47.7046168,-122.3390119
MLS Listing,,Townhouse,6546 A 32nd Ave NE Unit 2.3,Seattle,WA,98115,1099950,4,3.5,Bryant,1940,,2017,57,567,330,Active,,,http://www.redfin.com/WA/Seattle/6546-32nd-Ave-NE-98115/unit-23/home/113101726,NWMLS,1693185,N,Y,47.6760728,-122.2926949
MLS Listing,,Single Family Residential,2020 8th Ave N,Seattle,WA,98109,1050000,3,3.0,Westlake,2380,4100,1924,59,441,,Active,,,http://www.redfin.com/WA/Seattle/2020-8th-Ave-N-98109/home/131810,NWMLS,1692965,N,Y,47.637301,-122.3412509
MLS Listing,,Single Family Residential,2016 8th Ave N,Seattle,WA,98109,1195000,4,3.0,Westlake,2600,3490,1911,59,460,,Active,,,http://www.redfin.com/WA/Seattle/2016-8th-Ave-N-98109/home/131809,NWMLS,1692959,N,Y,47.637177,-122.3412594
MLS Listing,,Multi-Family (2-4 Unit),9603 15th Ave NE,Seattle,WA,98115,1025000,6,3.75,Maple Leaf,2400,5160,1946,61,427,,Active,,,http://www.redfin.com/WA/Seattle/9603-15th-Ave-NE-98115/home/110482,NWMLS,1692263,N,Y,47.6986855,-122.3125205
MLS Listing,,Townhouse,7024 Greenwood Ave N,Seattle,WA,98117,967000,3,1.75,Phinney Ridge,1768,560,2020,67,547,,Active,,,http://www.redfin.com/WA/Seattle/7024-Greenwood-Ave-N-98103/home/173735799,NWMLS,1690535,N,Y,47.6800991,-122.3550275
MLS Listing,,Townhouse,9135 23rd Ave NE Unit A,Seattle,WA,98115,749000,3,3.0,Wedgwood,1772,2552,2005,72,423,,Active,,,http://www.redfin.com/WA/Seattle/9135-23rd-Ave-NE-98115/unit-A/home/8188219,NWMLS,1687952,N,Y,47.695388,-122.3048797
MLS Listing,,Townhouse,5244 C Brooklyn Ave NE,Seattle,WA,98105,866000,4,2.5,University District,1500,8240,2021,75,577,,Active,,,http://www.redfin.com/WA/Seattle/5244-Brooklyn-Ave-NE-98105/home/312064,NWMLS,1687816,N,Y,47.6677349,-122.3138864
